Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1288564032	  -0.2377432314	  -0.0632863167
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.6032367159	   1.1859650943	   0.0588795450
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1246250090	  -0.2336413888	  -0.0651550973
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.5691351065	   1.4388256591	   0.0367146584
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1213881161	  -0.2299049737	  -0.0714294770
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.2396200061	   2.5682095590	  -0.3134052086
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1251894900	  -0.2191409765	  -0.0730423908
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.9858120570	   2.9574056593	   0.8601912946
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1369934856	  -0.2199247396	  -0.0612943885
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.1553419556	   1.9582913058	   1.4883431554
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1349227877	  -0.2237623149	  -0.0681364349
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.0035946418	   2.4310950428	   1.4252724155
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1267193346	  -0.2213575979	  -0.0785791709
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5909540631	   3.2708968954	   1.2583852158
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1459024727	  -0.2181322141	  -0.0626976287
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.4686100986	   3.1204476969	   1.7044444478
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1588890125	  -0.2026642170	  -0.0485860296
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.2565229357	   3.2588352339	   1.9216779385
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1624743996	  -0.1593597118	  -0.0270143515
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.2118671975	   2.4886133526	   2.7120769025
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1688556889	  -0.1761244730	  -0.0284523732
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0860469607	   2.7738494266	   2.5583844205
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1735004710	  -0.1869673749	  -0.0421156187
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.4050370115	   2.6864690110	   2.2645451537
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1775337142	  -0.1906060314	  -0.0439825882
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.3998089409	   2.5711877895	   2.2374185177
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1801219206	  -0.1876073228	  -0.0430547171
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6285550207	   2.4199564924	   1.9524071441
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.1825804727	  -0.1806445226	  -0.0472381509
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.8548991249	   2.0451993819	   1.8995858731
Center of Mass (Angs):
